timestamp,pm25_real,pm25,anomaly_score,anomaly_severity,anomaly_rank,total_generation_mw_real
2025-11-27 02:00:00,1.8010000000000006,-2.1490100163345134,-0.11191013065549027,0.11191013065549027,1,728.016
2025-11-27 03:00:00,1.4326600000000007,-2.396056720740808,-0.09894446593660555,0.09894446593660555,2,728.496
2025-10-02 10:00:00,1.5909999999999993,-2.2855645843136725,-0.09839631951732775,0.09839631951732775,3,502.96
2025-05-16 07:00:00,2.1160000000000005,-1.962270227991418,-0.09836938106217019,0.09836938106217019,4,362.544
2025-05-16 06:00:00,2.5979999999999994,-1.7102528082418968,-0.09695364613990087,0.09695364613990087,5,359.408
2025-05-16 04:00:00,7.8650000000000055,-0.1302241442441197,-0.09543892269908771,0.09543892269908771,6,356.432
2025-10-02 11:00:00,2.4019999999999992,-1.8084024362332,-0.09158748570155162,0.09158748570155162,7,502.784
2025-05-16 08:00:00,1.4326600000000007,-2.396056720740808,-0.0885088777793519,0.0885088777793519,8,359.80799999999994
2025-05-16 05:00:00,3.8840000000000003,-1.1748000644516965,-0.0874962962306941,0.0874962962306941,9,356.832
2025-10-02 15:00:00,1.6050000000000009,-2.276122300796746,-0.08560881060919145,0.08560881060919145,10,757.6
2025-11-27 05:00:00,1.4326600000000007,-2.396056720740808,-0.08552562888740689,0.08552562888740689,11,725.648
2024-11-20 20:00:00,6.059999999999998,-0.5291434552561071,-0.08421025111341851,0.08421025111341851,12,716.8
2025-10-02 12:00:00,2.8949999999999996,-1.571275017769967,-0.08390292647229691,0.08390292647229691,13,497.856
2025-10-02 09:00:00,2.7439999999999998,-1.6405560107536232,-0.08359122218450188,0.08359122218450188,14,493.904
2024-11-20 19:00:00,8.78,0.0418932671189371,-0.07835481825977264,0.07835481825977264,15,715.76
2024-09-20 04:00:00,11.568000000000001,0.4813737499175434,-0.07762983000266743,0.07762983000266743,16,240.59199999999998
2025-11-18 15:00:00,3.498,-1.3190628102040012,-0.07751919813455643,0.07751919813455643,17,602.256
2025-11-27 04:00:00,1.4326600000000007,-2.396056720740808,-0.07718240229719253,0.07718240229719253,18,730.896
2025-11-18 14:00:00,5.064999999999999,-0.7953231458371647,-0.07688933108659313,0.07688933108659313,19,600.944
2025-10-02 16:00:00,3.4459999999999997,-1.339437618857838,-0.07523458176255737,0.07523458176255737,20,756.176
2025-10-02 13:00:00,3.1050000000000004,-1.479262655242089,-0.07446281594044568,0.07446281594044568,21,630.688
2024-04-02 04:00:00,19.311999999999998,1.322537903718428,-0.07411936798886776,0.07411936798886776,22,734.0
2025-11-27 01:00:00,3.4849999999999994,-1.3241343442828917,-0.07390467116152322,0.07390467116152322,23,720.752
2025-11-18 12:00:00,6.228,-0.4879360804429283,-0.07342880143207442,0.07342880143207442,24,601.28
2025-05-16 09:00:00,1.4326600000000007,-2.396056720740808,-0.07340218534969334,0.07340218534969334,25,361.296
2025-10-02 14:00:00,3.4109999999999987,-1.3532860556340718,-0.07197551556300963,0.07197551556300963,26,764.16
2024-11-22 07:00:00,1.9650000000000003,-2.049308111568973,-0.07086262478253313,0.07086262478253313,27,741.008
2025-04-11 00:00:00,9.289,0.1307933751175614,-0.07043853867517114,0.07043853867517114,28,141.37599999999986
2025-11-27 06:00:00,1.4326600000000007,-2.396056720740808,-0.06995658517492187,0.06995658517492187,29,720.592
2025-08-22 12:00:00,15.130000000000006,0.9185983875968768,-0.06900876979863224,0.06900876979863224,30,360.60799999999995
2024-04-17 12:00:00,10.951,0.3931691573917927,-0.06774688966467146,0.06774688966467146,31,751.0
2025-11-26 06:00:00,1.7200000000000002,-2.2004280574229047,-0.06640818327506293,0.06640818327506293,32,706.336
2024-11-20 22:00:00,3.8279999999999994,-1.1950070373382375,-0.06633680133005415,0.06633680133005415,33,719.328
2025-11-18 16:00:00,5.943,-0.5584248643269911,-0.06605489560596556,0.06605489560596556,34,605.392
2025-10-02 18:00:00,3.487,-1.323353152205297,-0.06534387676828213,0.06534387676828213,35,751.184
2025-11-18 11:00:00,5.894,-0.5708349004836734,-0.06505117239199343,0.06505117239199343,36,603.104
2025-10-24 06:00:00,4.054,-1.1148472759918562,-0.06405964612302584,0.06405964612302584,37,545.68
2025-08-22 13:00:00,12.790000000000003,0.6439613020420177,-0.06301059813709786,0.06301059813709786,38,360.928
2024-04-02 16:00:00,1.9569999999999994,-2.0540422280617885,-0.06216022871663218,0.06216022871663218,39,542.0
2025-11-03 18:00:00,9.371000000000002,0.1447025993352888,-0.06188996841792793,0.06188996841792793,40,737.712
2025-11-26 04:00:00,2.098,-1.9724214789194805,-0.06101017468216219,0.06101017468216219,41,705.104
2025-07-07 17:00:00,13.858999999999998,0.7747851772862768,-0.06089876228851088,0.06089876228851088,42,469.648
2025-11-26 03:00:00,2.696,-1.6631655347872536,-0.060465200598115776,0.060465200598115776,43,704.528
2024-03-28 04:00:00,18.48599999999999,1.2497937220244617,-0.060171700946528794,0.060171700946528794,44,729.0
2025-11-26 23:00:00,29.007999999999996,2.006343139027091,-0.06010476719916613,0.06010476719916613,45,736.464
2025-07-07 15:00:00,6.242999999999999,-0.4843035441387854,-0.05954187979744385,0.05954187979744385,46,470.368
2025-08-21 17:00:00,5.187000000000001,-0.7604264515085565,-0.05912737014063507,0.05912737014063507,47,353.408
2025-10-02 19:00:00,3.6210000000000013,-1.2717910985496004,-0.05861397555355741,0.05861397555355741,48,755.2
2025-10-02 20:00:00,3.665,-1.2551858897965724,-0.05775062821260579,0.05775062821260579,49,760.256
2025-11-18 18:00:00,5.526,-0.6669565659300071,-0.0569859693805671,0.0569859693805671,50,596.592
2024-11-20 21:00:00,7.82,-0.1391412820694634,-0.05690133610644621,0.05690133610644621,51,716.912
2025-07-07 16:00:00,10.02,0.2510590931186164,-0.056549373896703226,0.056549373896703226,52,464.672
2025-10-02 03:00:00,5.557999999999999,-0.6583856467262124,-0.056170160378046896,0.056170160378046896,53,489.872
2024-03-26 22:00:00,2.6770000000000005,-1.6721963596657852,-0.05579240679004549,0.05579240679004549,54,748.0
2025-11-18 17:00:00,5.824,-0.5887173951138247,-0.05524306751426722,0.05524306751426722,55,601.536
2025-11-26 22:00:00,28.801999999999982,1.9942730012462648,-0.054735559905936815,0.054735559905936815,56,738.336
2025-04-06 09:00:00,1.63,-2.259386607182076,-0.05462011329655014,0.05462011329655014,57,436.832
2025-11-18 13:00:00,4.22,-1.0582202940894627,-0.054523668112110624,0.054523668112110624,58,598.912
2024-06-01 14:00:00,6.841,-0.3452988602667589,-0.05437194930822231,0.05437194930822231,59,736.4
2025-10-24 15:00:00,3.0939999999999994,-1.4839642928504833,-0.05435736134189795,0.05435736134189795,60,753.616
2024-04-17 15:00:00,1.4326600000000007,-2.396056720740808,-0.05320724098827312,0.05320724098827312,61,733.0
2025-05-18 17:00:00,1.975,-2.0434083962276093,-0.05251824232020563,0.05251824232020563,62,249.19999999999993
2025-10-24 04:00:00,6.510000000000001,-0.4208734385998833,-0.052365645356065915,0.052365645356065915,63,553.184
2024-04-15 15:00:00,2.446,-1.785885360232989,-0.05206923890197368,0.05206923890197368,64,737.0
2024-11-21 00:00:00,4.955000000000001,-0.8273945100693341,-0.05164812188725765,0.05164812188725765,65,723.04
2024-04-02 05:00:00,21.301,1.4862291494810222,-0.05120160758904657,0.05120160758904657,66,731.0
2025-05-16 11:00:00,2.4529999999999994,-1.7823296272814806,-0.051098764787849915,0.051098764787849915,67,358.752
2025-11-18 21:00:00,5.0409999999999995,-0.8022706406856441,-0.0507717163672482,0.0507717163672482,68,598.624
2025-11-08 14:00:00,5.317999999999998,-0.7237133918911028,-0.0507695777011512,0.0507695777011512,69,467.36
2025-07-22 16:00:00,7.077,-0.2933384682832101,-0.05058639126849496,0.05058639126849496,70,443.12
2024-04-02 06:00:00,19.215000000000003,1.3141501590909974,-0.050517254155222124,0.050517254155222124,71,728.0
2025-11-10 16:00:00,25.318999999999996,1.7765001716359397,-0.05035780160780512,0.05035780160780512,72,600.848
2025-04-01 23:00:00,10.510999999999997,0.327440363938914,-0.05032175070660405,0.05032175070660405,73,453.408
2025-05-16 10:00:00,1.4769999999999999,-2.364406760330622,-0.050112536063000035,0.050112536063000035,74,361.52
2024-05-02 17:00:00,1.722,-2.199140138363803,-0.04971030946397548,0.04971030946397548,75,751.0
2024-06-11 12:00:00,4.504,-0.9653920392170776,-0.04964002625144104,0.04964002625144104,76,685.8
2024-11-22 08:00:00,1.537,-2.322469047236599,-0.04954570787993717,0.04954570787993717,77,737.216
2025-08-21 18:00:00,6.042000000000001,-0.5336165605669823,-0.04934626198090031,0.04934626198090031,78,354.064
2025-04-02 03:00:00,5.9159999999999995,-0.5652521725716999,-0.04921676732651803,0.04921676732651803,79,451.52
2025-08-21 16:00:00,6.1099999999999985,-0.5167777454940723,-0.04889704096722314,0.04889704096722314,80,352.14399999999995
2025-05-16 12:00:00,2.17,-1.9321646368668004,-0.048888320493681636,0.048888320493681636,81,358.208
2025-07-17 15:00:00,7.039999999999997,-0.3013836410241143,-0.04843552876472845,0.04843552876472845,82,484.0
2025-11-21 00:00:00,43.804859999999955,2.708722602004185,-0.04827326376151708,0.04827326376151708,83,609.424
2024-05-04 00:00:00,1.4326600000000007,-2.396056720740808,-0.04816314608735217,0.04816314608735217,84,754.0
2025-11-27 00:00:00,5.696,-0.6218963992459898,-0.04815626620575131,0.04815626620575131,85,734.48
2024-11-22 06:00:00,2.181999999999999,-1.925544173823157,-0.04763079736834552,0.04763079736834552,86,742.544
2025-07-22 18:00:00,5.02,-0.808372378021782,-0.04734578004719414,0.04734578004719414,87,440.048
2025-07-22 17:00:00,6.023000000000001,-0.5383505929125835,-0.0470772220078034,0.0470772220078034,88,440.864
2024-03-28 05:00:00,6.544999999999999,-0.4127262989755229,-0.04697384514101888,0.04697384514101888,89,732.0
2024-09-13 10:00:00,9.909999999999998,0.23348087746856,-0.046678300770437886,0.046678300770437886,90,488.352
2025-07-08 17:00:00,7.350999999999997,-0.234883256669769,-0.04656314199589395,0.04656314199589395,91,473.792
2025-03-16 14:00:00,4.4990000000000006,-0.9669845266492598,-0.046306089589662536,0.046306089589662536,92,694.176
2025-11-03 19:00:00,19.781999999999996,1.3626204655638523,-0.04620112533789211,0.04620112533789211,93,744.944
2025-04-06 08:00:00,6.400999999999997,-0.4464913993537711,-0.04515742116062371,0.04515742116062371,94,441.088
2025-08-22 14:00:00,10.567999999999998,0.3360955387501182,-0.045088006018871196,0.045088006018871196,95,360.0
2025-10-02 05:00:00,4.304,-1.0302482140690798,-0.04506651146837859,0.04506651146837859,96,492.72
2025-11-26 21:00:00,43.804859999999955,2.708722602004185,-0.044997448942656226,0.044997448942656226,97,741.6
2024-11-21 01:00:00,2.0879999999999987,-1.978086578587584,-0.04429581078149558,0.04429581078149558,98,722.096
2025-10-27 05:00:00,1.4326600000000007,-2.396056720740808,-0.04398517714045769,0.04398517714045769,99,473.872
2024-06-10 14:00:00,11.293,0.4426079360220695,-0.04352758166682047,0.04352758166682047,100,663.4
